field_source_collection,field_source_collection_id,field_source_repository,field_source_citation,field_related_title_part_of,Status,mods_relatedItem_host_titleInfo_title_ms,mods_relatedItem_host_originInfo_dateCreated_ms,mods_relatedItem_host_identifier_ms,mods_relatedItem_host_identifier_local-asc_ms,mods_relatedItem_host_note_prefercite_ms,mods_relatedItem_note_prefercite_ms
"Pitt Players Records, 1914-1961",CTC.1978.01,"Curtis Theatre Collection, Archives & Special Collections, University of Pittsburgh Library System","Pitt Players Records, 1914-1961, CTC.1978.01, Curtis Theatre Collection, Archives & Special Collections, University of Pittsburgh Library System",,,"Pitt Players Records\, 1914-1961",,CTC.1978.01,,,"Pitt Players Records\, 1914-1961\, CTC.1978.01\, Curtis Theatre Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Cap and Gown Club Records, 1908-1978",CTC.1980.01,"Curtis Theatre Collection, Archives & Special Collections, University of Pittsburgh Library System","Cap and Gown Club Records, 1908-1978, CTC.1980.01, Curtis Theatre Collection, Archives & Special Collections, University of Pittsburgh Library System",,,"Cap and Gown Club Records\, 1908-1978",,CTC.1980.01,,,"Cap and Gown Club Records\, 1908-1978\, CTC.1980.01\, Curtis Theatre Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Allan F. Jones' Pitt Football Team Photograph Collection, 1922",UA.9.10.F,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","Allan F. Jones' Pitt Football Team Photograph Collection, 1922, UA.9.10.F, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,"Allan F. Jones Photograph Collection\, 1922",,"Allan F. Jones Photograph Collection\, 1922\, AIS.2011.04",,,"Allan F. Jones Photograph Collection\, 1922\, AIS.2011.04\, Archives & Special Collections\, University of Pittsburgh Library System"
"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers, 1949-1986",UE.13,"Archives & Special Collections, University of Pittsburgh Library System","Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers, 1949-1986, UE.13, Archives & Special Collections, University of Pittsburgh Library System",,,"Fred Wright Original Cartoons (Subgroup 13.1)\, Fred Wright Papers (UE.13)",,UE.13,,,"Fred Wright Original Cartoons (Subgroup 13.1)\, Fred Wright Papers\, 1949-1986\, UE.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Fred Wright Army Air Forces Basic Training Center #9 Cartoons, 1943-1945",AIS.2013.03,"Archives & Special Collections, University of Pittsburgh Library System","Fred Wright Army Air Forces Basic Training Center #9 Cartoons, 1943-1945, AIS.2013.03, Archives & Special Collections, University of Pittsburgh Library System",,,Fred Wright Army Air Forces Basic Training Center #9 Cartoons,,AIS.2013.03,,,"Fred Wright Army Air Forces Basic Training Center #9 Cartoons\, 1943-1945\, AIS.2013.03\, Archives & Special Collections\, University of Pittsburgh Library System"
"UE Research Department Personnel Papers, 1937-2001",UE.10.1,"Archives & Special Collections, University of Pittsburgh Library System","UE Research Department Personnel Papers, 1937-2001, UE.10.1, Archives & Special Collections, University of Pittsburgh Library System",,,UE Research Department Personnel Papers,,UE.10.1,,,"UE Research Department Personnel Papers\, 1937-2001\, UE.10.1\, Archives & Special Collections\, University of Pittsburgh Library System"
"Labor History Series (Series 13.3.1), Fred Wright Publication Plates (Subgroup 13.3), Fred Wright Papers, 1949-1986",UE.13,"Archives & Special Collections, University of Pittsburgh Library System","Labor History Series (Series 13.3.1), Fred Wright Publication Plates (Subgroup 13.3), Fred Wright Papers, 1949-1986, UE.13, Archives & Special Collections, University of Pittsburgh Library System",,,"Labor History Series (Series 13.3.1)\, Fred Wright Publication Plates (Subgroup 13.3)\, Fred Wright Papers (UE.13)",,UE.13,,,"Labor History Series (Series 13.3.1)\, Fred Wright Publication Plates (Subgroup 13.3)\, Fred Wright Original Cartoons (Subgroup 13.1)\, Fred Wright Papers\, 1949-1986\, UE.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"James Lerner Addition (Subgroup 13.8), Fred Wright Papers, 1949-1986",UE.13,"Archives & Special Collections, University of Pittsburgh Library System","James Lerner Addition (Subgroup 13.8), Fred Wright Papers, 1949-1986, UE.13, Archives & Special Collections, University of Pittsburgh Library System",,,"James Lerner Addition (Subgroup UE.13.8)\, Fred Wright Papers (UE.13)",,UE.13,,,"James Lerner Addition (Subgroup UE.13.8)\, Fred Wright Papers\, 1949-1986\, UE.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Bruce Drisbach-American Steel & Wire Company Photograph Collection, 1915-1917",AIS.2001.02,"Archives & Special Collections, University of Pittsburgh Library System","Bruce Drisbach-American Steel & Wire Company Photograph Collection, 1915-1917, AIS.2001.02, Archives & Special Collections, University of Pittsburgh Library System",,,"Bruce Drisbach-American Steel & Wire Company Photograph Collection\, 1915-1917",,AIS.2001.02,,,"Bruce Drisbach-American Steel & Wire Company Photograph Collection\, 1915-1917\, AIS.2001.02\, Archives & Special Collections\, University of Pittsburgh Library System"
"Allegheny County Medical Society Minute Book, 1848-1858",AIS.2017.04,"Archives & Special Collections, University of Pittsburgh Library System","Allegheny County Medical Society Minute Book, 1848-1858, AIS.2017.04, Archives & Special Collections, University of Pittsburgh Library System",,,Allegheny County Medical Society Minute Book,,AIS.2017.04,,,"Allegheny County Medical Society Minute Book\, 1848-1858\, AIS.2017.04\, Archives & Special Collections\, University of Pittsburgh Library System"
"Edward Rocco (E.R.) Montagna Diary, 1939",AIS.2023.25,"Archives & Special Collections, University of Pittsburgh Library System","Edward Rocco (E.R.) Montagna Diary, 1939, AIS.2023.25, Archives & Special Collections, University of Pittsburgh Library System",,,Edward Rocco (E.R.) Montagna Diary,,AIS.2023.25,,,"Edward Rocco (E.R.) Montagna Diary\, 1939\, AIS.2023.25\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.18,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.19,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.20,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.21,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.23,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.22,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.13,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.14,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
"Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918",AIS.2021.13,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Suffrage Movement in Pennsylvania Collection, ca. 1914-1918, AIS.2021.13, Archives & Special Collections, University of Pittsburgh Library System",,,Woman's Suffrage Movement in Pennsylvania Collection,,AIS.2021.15,,,"Woman's Suffrage Movement in Pennsylvania Collection\, c.1915-1918\, AIS.2021.13\, Archives & Special Collections\, University of Pittsburgh Library System"
